,UF,FX_ANO_CADASTRO_FAM,SIT_ATUALIZACAO,FX_RFPC,CO_LOCAL_DOMIC_FAM,REG,VL_RENDA_MEDIA_FAM,QTD_PESSOAS,REGIAO
120,AL,3,1,1,1.0,35809,30.117209299094224,3.041914934983641,NE
121,AL,3,1,1,2.0,22412,28.87941334264671,3.172273930906368,NE
122,AL,3,1,2,1.0,2222,153.76050386973978,3.7152067802204822,NE
123,AL,3,1,2,2.0,530,156.27503892761376,4.056646771804546,NE
124,AL,3,1,3,1.0,4257,404.7583490967123,2.980211760380612,NE
125,AL,3,1,3,2.0,1276,386.8969542812212,3.090387994261434,NE
126,AL,3,1,4,1.0,3939,1101.525298117911,1.3334276588915805,NE
127,AL,3,1,4,2.0,870,1080.9298293004047,1.4484639174818212,NE
128,AL,4,0,1,1.0,42130,35.22734375054495,2.029984537024772,NE
129,AL,4,0,1,2.0,13778,32.676234890145494,2.008070575778283,NE
130,AL,4,0,2,1.0,7139,166.2090468013319,2.0487434702302303,NE
131,AL,4,0,2,2.0,741,163.78364595147082,2.21016917520423,NE
132,AL,4,0,3,1.0,16261,421.26175298084627,2.3472019098654715,NE
133,AL,4,0,3,2.0,2542,421.9921486191117,2.42550340472582,NE
134,AL,4,0,4,1.0,36151,1022.1371060184458,1.2683380035150242,NE
135,AL,4,0,4,2.0,9666,997.4662997483166,1.2771319200534912,NE
136,AL,4,1,1,1.0,52242,31.931194223047008,2.40036707641116,NE
137,AL,4,1,1,2.0,24007,29.78687788415996,2.4780432224366256,NE
138,AL,4,1,2,1.0,4498,156.57888093669544,2.675109421962433,NE
139,AL,4,1,2,2.0,677,154.609930694074,2.834226338461552,NE
140,AL,4,1,3,1.0,11671,440.95722890908996,2.671070846385543,NE
141,AL,4,1,3,2.0,2465,447.93810840725206,2.65507492855068,NE
142,AL,4,1,4,1.0,16697,1095.1042884686426,1.3158650247084263,NE
143,AL,4,1,4,2.0,3899,1096.747760931063,1.3588152781272236,NE
144,AL,5,0,1,1.0,2534,37.17537556303025,1.7850748272891244,NE
145,AL,5,0,1,2.0,796,34.96395594887884,1.8254538069332684,NE
146,AL,5,0,2,1.0,697,164.0383749560267,2.1596092602653134,NE
147,AL,5,0,2,2.0,88,167.83044733044733,2.1832611832611835,NE
148,AL,5,0,3,1.0,2048,437.21239898583997,2.5629647025699747,NE
149,AL,5,0,3,2.0,327,429.2699228218223,2.499928940431391,NE
150,AL,5,0,4,1.0,3657,1067.5702325630339,1.3386456821649235,NE
151,AL,5,0,4,2.0,904,1068.4258577491555,1.3383174162366591,NE
152,AL,5,1,1,1.0,57414,36.54287121959389,1.8142360624109417,NE
153,AL,5,1,1,2.0,23618,35.34924842827516,1.8217800807382538,NE
154,AL,5,1,2,1.0,9805,162.7389171494958,1.9337388815046437,NE
155,AL,5,1,2,2.0,1898,161.27713961316823,1.926714626579782,NE
156,AL,5,1,3,1.0,18912,423.8956962293059,2.390894167097158,NE
157,AL,5,1,3,2.0,3194,431.998854820913,2.4543533737450476,NE
158,AL,5,1,4,1.0,15482,1125.4528182904326,1.3772352873588654,NE
159,AL,5,1,4,2.0,3290,1118.635526514469,1.4338754617915455,NE
160,AM,1,0,1,1.0,15961,28.152637996218036,3.6712035574002404,N
