UF,FX_ANO_CADASTRO_FAM,SIT_ATUALIZACAO,FX_RFPC,CO_LOCAL_DOMIC_FAM,REG,VL_RENDA_MEDIA_FAM,QTD_PESSOAS
AC,1,0,1,1.0,2985,26.278391959798995,3.8636515912897824
AC,1,0,1,2.0,1414,19.645685997171146,4.210749646393211
AC,1,0,2,1.0,611,161.03600654664484,4.708674304418985
AC,1,0,2,2.0,243,163.1604938271605,5.160493827160494
AC,1,0,3,1.0,1109,366.4454463480613,3.218214607754734
AC,1,0,3,2.0,521,368.6756238003839,3.1420345489443378
AC,1,0,4,1.0,535,930.5570093457944,1.6728971962616823
AC,1,0,4,2.0,207,900.1159420289855,1.8454106280193237
AC,1,1,1,1.0,6286,20.487114222080816,3.7799872733057587
AC,1,1,1,2.0,3933,17.91202644291889,4.503178235443682
AC,1,1,2,1.0,778,158.84318766066838,4.530848329048843
AC,1,1,2,2.0,418,159.66507177033492,5.389952153110048
AC,1,1,3,1.0,1161,377.56847545219637,3.391903531438415
AC,1,1,3,2.0,555,359.2234234234234,3.6198198198198197
AC,1,1,4,1.0,375,1014.2346666666666,1.7253333333333334
AC,1,1,4,2.0,120,969.3416666666667,2.033333333333333
AC,2,0,1,1.0,3194,26.654351909830932,3.951471509079524
AC,2,0,1,2.0,2361,22.217704362558237,4.591698432867429
AC,2,0,2,1.0,506,158.7806324110672,4.648221343873518
AC,2,0,2,2.0,353,158.18980169971672,5.235127478753541
AC,2,0,3,1.0,772,353.5673575129534,3.2577720207253886
AC,2,0,3,2.0,409,350.16870415647924,3.3667481662591685
AC,2,0,4,1.0,255,917.5960784313726,1.7921568627450981
AC,2,0,4,2.0,135,920.7333333333333,1.6962962962962962
AC,2,1,1,1.0,6970,21.981779053084647,4.056241032998566
AC,2,1,1,2.0,7287,19.175243584465488,4.93358034856594
AC,2,1,2,1.0,732,156.95355191256832,4.733606557377049
AC,2,1,2,2.0,683,154.89311859443632,5.424597364568082
AC,2,1,3,1.0,920,355.3532608695652,3.5315217391304348
AC,2,1,3,2.0,543,351.9300184162063,3.731123388581952
AC,2,1,4,1.0,178,1018.5168539325842,1.8146067415730338
AC,2,1,4,2.0,84,1020.6190476190476,2.0238095238095237
AC,3,0,1,1.0,4351,26.460583773845094,3.415536658239485
AC,3,0,1,2.0,2909,21.576830525953937,3.959436232382262
AC,3,0,2,1.0,539,156.41929499072356,3.7012987012987013
AC,3,0,2,2.0,236,155.90254237288136,4.461864406779661
AC,3,0,3,1.0,845,368.52899408284026,2.9976331360946746
AC,3,0,3,2.0,318,354.3836477987421,3.0723270440251573
AC,3,0,4,1.0,541,1020.0573012939002,1.634011090573013
AC,3,0,4,2.0,141,973.7943262411347,1.6524822695035462
AC,3,1,1,1.0,7942,22.476580206497104,3.686351045076807
AC,3,1,1,2.0,7560,17.76798941798942,4.366005291005291
AC,3,1,2,1.0,684,153.08187134502924,3.904970760233918
AC,3,1,2,2.0,402,154.17412935323384,4.629353233830845
AC,3,1,3,1.0,808,370.48514851485146,3.3316831683168315
AC,3,1,3,2.0,368,352.01630434782606,3.619565217391304
AC,3,1,4,1.0,298,1068.7617449664428,1.587248322147651
AC,3,1,4,2.0,68,959.2794117647059,1.8529411764705883
AC,4,0,1,1.0,8012,24.710683974038943,2.5936095856215675
AC,4,0,1,2.0,4618,21.436552620181896,2.713728886964054
AC,4,0,2,1.0,1195,161.1866108786611,2.9405857740585772
AC,4,0,2,2.0,349,160.50716332378224,2.679083094555874
AC,4,0,3,1.0,3409,407.5602816075095,2.712232326195365
AC,4,0,3,2.0,1054,406.28273244781786,2.523719165085389
AC,4,0,4,1.0,6129,1038.1780062000325,1.4052863436123348
AC,4,0,4,2.0,1943,1000.4390118373649,1.3880597014925373
AC,4,1,1,1.0,10597,22.830801170142493,2.802396904784373
AC,4,1,1,2.0,8842,18.984053381587877,3.1275729472969918
AC,4,1,2,1.0,1092,155.51282051282053,3.066849816849817
AC,4,1,2,2.0,419,153.42959427207637,3.1026252983293556
AC,4,1,3,1.0,2312,420.435553633218,2.8187716262975777
AC,4,1,3,2.0,732,409.94262295081967,2.9234972677595628
